fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'tanh', 'alpha': np.float64(0.0018760068220300646), 'hidden_layer_sizes': (4, 3, 3), 'learning_rate_init': np.float64(0.0035101887722336646)}",0.5775025829615953,0.6958921849789443,0.7175283647136232,0.7138387320173538,146,146,86,118,0,60,28
2,"{'activation': 'tanh', 'alpha': np.float64(0.0007606809457649334), 'hidden_layer_sizes': (5, 5), 'learning_rate_init': np.float64(0.0034207303670092245)}",0.5659752056609454,0.6304528819221077,0.6652250417295533,0.6549540592746947,145,145,97,123,0,48,22
3,"{'activation': 'tanh', 'alpha': np.float64(0.0018760068220300646), 'hidden_layer_sizes': (4, 3, 3), 'learning_rate_init': np.float64(0.0035101887722336646)}",0.5985536579016549,0.5949461207836366,0.6508987941288482,0.6196475071457933,145,145,89,119,0,56,26
4,"{'activation': 'tanh', 'alpha': np.float64(0.0018760068220300646), 'hidden_layer_sizes': (4, 3, 3), 'learning_rate_init': np.float64(0.0035101887722336646)}",0.5623001384241716,0.5896644256241084,0.7462780347239993,0.6475701248612797,145,145,92,122,0,53,23
5,"{'activation': 'tanh', 'alpha': np.float64(0.0011619873314872927), 'hidden_layer_sizes': (4, 3, 3), 'learning_rate_init': np.float64(0.015161591075671724)}",0.6429039075423436,0.24020759238337008,0.5345099483343194,0.5085865872563413,145,145,85,115,0,60,30
