fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'relu', 'alpha': np.float64(0.002792896510799227), 'hidden_layer_sizes': (200, 200, 200, 200, 200, 200, 200, 200, 200, 200), 'learning_rate_init': np.float64(1.048912959181851e-05)}",0.5610462770462479,0.5894298893818505,0.7293548328153071,0.6440073409545866,146,146,86,118,0,60,28
2,"{'activation': 'relu', 'alpha': np.float64(0.0009925982828198465), 'hidden_layer_sizes': (500, 500, 500, 500), 'learning_rate_init': np.float64(1.251018885016443e-05)}",0.5809563940995545,0.6363693739850675,0.7646348906808973,0.7239264799425986,145,145,97,123,0,48,22
3,"{'activation': 'relu', 'alpha': np.float64(0.0009925982828198465), 'hidden_layer_sizes': (500, 500, 500, 500), 'learning_rate_init': np.float64(1.251018885016443e-05)}",0.60420057173393,0.5735464486676582,0.6593754544003181,0.6279331676932665,145,145,89,119,0,56,26
4,"{'activation': 'relu', 'alpha': np.float64(0.04239491473869766), 'hidden_layer_sizes': (2000,), 'learning_rate_init': np.float64(8.160948743089913e-05)}",0.5681761143342988,0.5724846610476193,0.6782498082885269,0.6162148378747864,145,145,92,122,0,53,23
5,"{'activation': 'relu', 'alpha': np.float64(0.00015347603633119835), 'hidden_layer_sizes': (200, 200, 200, 200, 200, 200, 200, 200, 200, 200), 'learning_rate_init': np.float64(0.01739616742284698)}",0.6339165924902094,0.22820887445354943,0.49498311947346463,0.4939108308562996,145,145,85,115,0,60,30
