fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'relu', 'alpha': np.float64(0.03699867920489089), 'hidden_layer_sizes': (100, 100), 'learning_rate_init': np.float64(0.00025137010744766443)}",0.5663997732552439,0.6959442468532326,0.7314065865141807,0.7095033445136468,146,146,86,118,0,60,28
2,"{'activation': 'relu', 'alpha': np.float64(0.07286653737491042), 'hidden_layer_sizes': (100, 100), 'learning_rate_init': np.float64(0.000348069532678527)}",0.593609869864491,0.6517858013486344,0.7262699580459968,0.7085366177535386,145,145,97,123,0,48,22
3,"{'activation': 'relu', 'alpha': np.float64(0.011044350847124691), 'hidden_layer_sizes': (20, 20, 20, 20, 20, 20, 20, 20, 20, 20), 'learning_rate_init': np.float64(8.789004341405474e-05)}",0.6106859268017567,0.6165883720001131,0.6677361447736772,0.6561015194724924,145,145,89,119,0,56,26
4,"{'activation': 'tanh', 'alpha': np.float64(0.0005019072833961318), 'hidden_layer_sizes': (34, 34, 33, 33, 33, 33), 'learning_rate_init': np.float64(0.0015375920235481753)}",0.5772507179789512,0.6035402706504507,0.7626515096563522,0.6602508857331488,145,145,92,122,0,53,23
5,"{'activation': 'relu', 'alpha': np.float64(0.0014648457497911016), 'hidden_layer_sizes': (20, 20, 20, 20, 20, 20, 20, 20, 20, 20), 'learning_rate_init': np.float64(0.00010758866306767925)}",0.634631931454436,0.26223016911041175,0.583195486447061,0.5385212991730062,145,145,85,115,0,60,30
