,,,,,global_mean_score,global_std_score,best_score_innerCV,best_score_innerCV,best_score_innerCV,r2_noAD,r2_strict,r2_soft
,,,,,mean,mean,mean,std,count,mean,mean,mean
nb_neurones,activation,alpha,hidden_layer_sizes,learning_rate_init,,,,,,,,
200,relu,0.0369986792048908,"(100, 100)",0.0002513701074476,0.675813487784076,0.0743913244506628,0.5663997732552439,,1,0.6959442468532326,0.7314065865141807,0.7095033445136468
50,relu,1.795698422567761e-05,"(8, 7, 7, 7, 7, 7, 7)",0.0047354909465785,0.6683808608939991,0.0680211735181953,0.5668116133185186,,1,0.6931098646221272,0.7073454663720615,0.7062564992632889
100,relu,1.5519027787994336e-05,"(10, 10, 10, 10, 10, 10, 10, 10, 10, 10)",0.0002653937643936,0.6495026547830651,0.0549732434708368,0.5673453355701249,,1,0.6768958962044139,0.671122506199061,0.6826468811586608
5000,relu,7.602635868455898e-05,"(500, 500, 500, 500, 500, 500, 500, 500, 500, 500)",0.0011178209200698,0.6681715506948602,0.068216256964622,0.5754156667184035,,1,0.6630224713129923,0.7335178602820784,0.7007302044659667
50,relu,1.9870215385428627e-05,"(8, 7, 7, 7, 7, 7, 7)",0.0004938623547724,0.6493473262382818,0.0510205096699192,0.5739060781062681,,1,0.6625802697304475,0.68243237793349,0.6784705791829218
500,relu,0.0040536387047423,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",5.054765477258722e-05,0.6625480032470399,0.04387570046144535,0.6051690571566622,0.012614164057490444,2,0.655613159846644,0.7029410434702485,0.6864687525146045
100,relu,0.0067209300501561,"(34, 33, 33)",0.0144777863069286,0.6513559470973322,0.0442445179273567,0.5878845106970151,,1,0.6546362976364085,0.6847579044693237,0.6781450755865817
200,relu,0.0728665373749104,"(100, 100)",0.0003480695326785,0.6700505617531651,0.0600515830350553,0.593609869864491,,1,0.6517858013486344,0.7262699580459968,0.7085366177535386
5000,tanh,0.0011040511903162,"(556, 556, 556, 556, 556, 555, 555, 555, 555)",0.0008696007095406,0.6165057551011522,0.0407827775297526,0.5559964756872718,,1,0.6451308466671454,0.6330114754153868,0.6318842226348049
1000,relu,0.0005421044225547,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",2.059802236544964e-05,0.6579402689516903,0.04904588066732485,0.602121599109471,0.01458013854001751,2,0.6399942361202728,0.7051933984472663,0.6844518421297511
10,tanh,0.0007606809457649,"(5, 5)",0.0034207303670092,0.6291517971468252,0.0445720773542017,0.5659752056609454,,1,0.6304528819221077,0.6652250417295533,0.6549540592746947
10,tanh,0.00187600682203,"(4, 3, 3)",0.0035101887722336,0.6428850556887508,0.05784674739109937,0.5794521264291407,0.01820521789007075,3,0.6268342437955631,0.7049017311888236,0.6603521213414756
50,relu,7.602635868455898e-05,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0.0011178209200698,0.6503921399603684,0.0675828980764082,0.5816972618491844,,1,0.6193270996367748,0.7392740264708082,0.661270171884706
10000,relu,0.0020305586522289,"(10000,)",6.039096247545784e-05,0.6170829812263001,0.05041927501189745,0.5603851782392197,0.011829394785882526,2,0.6170687982041544,0.6567205517671016,0.6341573966947248
200,relu,0.0110443508471246,"(20, 20, 20, 20, 20, 20, 20, 20, 20, 20)",8.789004341405474e-05,0.6377779907620098,0.0283797026593046,0.6106859268017567,,1,0.6165883720001131,0.6677361447736772,0.6561015194724924
50,tanh,1.007198483880919e-05,"(10, 10, 10, 10, 10)",0.0029507066707905,0.6259468319673476,0.023709073748135,0.6040038074145887,,1,0.6093453026762239,0.6548734373782238,0.6355647804003539
