fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'relu', 'alpha': np.float64(0.002792896510799227), 'hidden_layer_sizes': (100, 100, 100, 100, 100, 100, 100, 100, 100, 100), 'learning_rate_init': np.float64(1.048912959181851e-05)}",0.5807296031158717,0.6883723177374745,0.6885181264706317,0.6916879328371743,146,146,86,118,0,60,28
2,"{'activation': 'relu', 'alpha': np.float64(0.0005421044225547077), 'hidden_layer_sizes': (100, 100, 100, 100, 100, 100, 100, 100, 100, 100), 'learning_rate_init': np.float64(2.059802236544964e-05)}",0.5918118842771853,0.6743218813171343,0.7252700724226576,0.7169281699928312,145,145,97,123,0,48,22
3,"{'activation': 'relu', 'alpha': np.float64(0.0005421044225547077), 'hidden_layer_sizes': (100, 100, 100, 100, 100, 100, 100, 100, 100, 100), 'learning_rate_init': np.float64(2.059802236544964e-05)}",0.6124313139417568,0.6056665909234114,0.6851167244718749,0.651975514266671,145,145,89,119,0,56,26
4,"{'activation': 'relu', 'alpha': np.float64(4.809461967501571e-05), 'hidden_layer_sizes': (143, 143, 143, 143, 143, 143, 142), 'learning_rate_init': np.float64(1.1299516083106613e-05)}",0.5800081491936895,0.5860859537953111,0.7226921158891052,0.6493904043820512,145,145,92,122,0,53,23
5,"{'activation': 'relu', 'alpha': np.float64(0.002792896510799227), 'hidden_layer_sizes': (100, 100, 100, 100, 100, 100, 100, 100, 100, 100), 'learning_rate_init': np.float64(1.048912959181851e-05)}",0.6453983486651963,0.292363355016257,0.5580527313094867,0.533374921722267,145,145,85,115,0,60,30
