fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'relu', 'alpha': np.float64(1.5519027787994336e-05), 'hidden_layer_sizes': (10, 10, 10, 10, 10, 10, 10, 10, 10, 10), 'learning_rate_init': np.float64(0.00026539376439360527)}",0.5673453355701249,0.6768958962044139,0.671122506199061,0.6826468811586608,146,146,86,118,0,60,28
2,"{'activation': 'relu', 'alpha': np.float64(0.00672093005015611), 'hidden_layer_sizes': (34, 33, 33), 'learning_rate_init': np.float64(0.01447778630692866)}",0.5878845106970151,0.6546362976364085,0.6847579044693237,0.6781450755865817,145,145,97,123,0,48,22
3,"{'activation': 'tanh', 'alpha': np.float64(0.0014071153761525883), 'hidden_layer_sizes': (20, 20, 20, 20, 20), 'learning_rate_init': np.float64(0.0012273630375458189)}",0.6058387643477806,0.5987143034294719,0.6529634984289352,0.6399690143677292,145,145,89,119,0,56,26
4,"{'activation': 'relu', 'alpha': np.float64(0.03699867920489089), 'hidden_layer_sizes': (50, 50), 'learning_rate_init': np.float64(0.00025137010744766443)}",0.5840092897947817,0.5963061625202606,0.7051317574287836,0.6457079781850463,145,145,92,122,0,53,23
5,"{'activation': 'tanh', 'alpha': np.float64(6.849752356701299e-05), 'hidden_layer_sizes': (17, 17, 17, 17, 16, 16), 'learning_rate_init': np.float64(0.000272011412203244)}",0.6384200309996404,0.2328403856513518,0.5278393642010415,0.48318751957443207,145,145,85,115,0,60,30
