fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'relu', 'alpha': np.float64(1.795698422567761e-05), 'hidden_layer_sizes': (8, 7, 7, 7, 7, 7, 7), 'learning_rate_init': np.float64(0.0047354909465785805)}",0.5668116133185186,0.6931098646221272,0.7073454663720615,0.7062564992632889,146,146,86,118,0,60,28
2,"{'activation': 'relu', 'alpha': np.float64(1.9870215385428627e-05), 'hidden_layer_sizes': (8, 7, 7, 7, 7, 7, 7), 'learning_rate_init': np.float64(0.0004938623547724716)}",0.5739060781062681,0.6625802697304475,0.68243237793349,0.6784705791829218,145,145,97,123,0,48,22
3,"{'activation': 'tanh', 'alpha': np.float64(1.007198483880919e-05), 'hidden_layer_sizes': (10, 10, 10, 10, 10), 'learning_rate_init': np.float64(0.002950706670790532)}",0.6040038074145887,0.6093453026762239,0.6548734373782238,0.6355647804003539,145,145,89,119,0,56,26
4,"{'activation': 'relu', 'alpha': np.float64(7.602635868455898e-05), 'hidden_layer_sizes': (5, 5, 5, 5, 5, 5, 5, 5, 5, 5), 'learning_rate_init': np.float64(0.0011178209200698721)}",0.5816972618491844,0.6193270996367748,0.7392740264708082,0.661270171884706,145,145,92,122,0,53,23
5,"{'activation': 'relu', 'alpha': np.float64(1.97778285124627e-05), 'hidden_layer_sizes': (8, 7, 7, 7, 7, 7, 7), 'learning_rate_init': np.float64(0.004020759548749849)}",0.6348886647004354,0.24620870364058456,0.5092103408099966,0.4904059928943184,145,145,85,115,0,60,30
