fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'tanh', 'alpha': np.float64(0.0011040511903162248), 'hidden_layer_sizes': (556, 556, 556, 556, 556, 555, 555, 555, 555), 'learning_rate_init': np.float64(0.0008696007095406228)}",0.5559964756872718,0.6451308466671454,0.6330114754153868,0.6318842226348049,146,146,86,118,0,60,28
2,"{'activation': 'relu', 'alpha': np.float64(7.602635868455898e-05), 'hidden_layer_sizes': (500, 500, 500, 500, 500, 500, 500, 500, 500, 500), 'learning_rate_init': np.float64(0.0011178209200698721)}",0.5754156667184035,0.6630224713129923,0.7335178602820784,0.7007302044659667,145,145,97,123,0,48,22
3,"{'activation': 'relu', 'alpha': np.float64(1.5519027787994336e-05), 'hidden_layer_sizes': (500, 500, 500, 500, 500, 500, 500, 500, 500, 500), 'learning_rate_init': np.float64(0.00026539376439360527)}",0.599453392807744,0.581359361861957,0.6614201839766791,0.6012637526019766,145,145,89,119,0,56,26
4,"{'activation': 'relu', 'alpha': np.float64(0.0020305586522289124), 'hidden_layer_sizes': (5000,), 'learning_rate_init': np.float64(6.0390962475457836e-05)}",0.5691242336698984,0.576407215660286,0.6841208274450423,0.6205877619435993,145,145,92,122,0,53,23
5,"{'activation': 'relu', 'alpha': np.float64(1.4942218644908236e-05), 'hidden_layer_sizes': (1000, 1000, 1000, 1000, 1000), 'learning_rate_init': np.float64(0.03419606146827048)}",0.6182671870873937,0.19044426655173607,0.5608306960424453,0.4958611845807931,145,145,85,115,0,60,30
