fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'relu', 'alpha': np.float64(0.005043830321793336), 'hidden_layer_sizes': (56, 56, 56, 56, 56, 55, 55, 55, 55), 'learning_rate_init': np.float64(2.8437674894443664e-05)}",0.5902927843212328,0.7114811051832335,0.7201424767825331,0.709468932974286,146,146,86,118,0,60,28
2,"{'activation': 'relu', 'alpha': np.float64(0.004053638704742309), 'hidden_layer_sizes': (56, 56, 56, 56, 56, 55, 55, 55, 55), 'learning_rate_init': np.float64(5.054765477258722e-05)}",0.5962494962126111,0.6766304195686959,0.7238158392884595,0.7171029360725852,145,145,97,123,0,48,22
3,"{'activation': 'relu', 'alpha': np.float64(0.004053638704742309), 'hidden_layer_sizes': (56, 56, 56, 56, 56, 55, 55, 55, 55), 'learning_rate_init': np.float64(5.054765477258722e-05)}",0.6140886181007134,0.6345959001245922,0.6820662476520376,0.6558345689566238,145,145,89,119,0,56,26
4,"{'activation': 'relu', 'alpha': np.float64(0.005043830321793336), 'hidden_layer_sizes': (56, 56, 56, 56, 56, 55, 55, 55, 55), 'learning_rate_init': np.float64(2.8437674894443664e-05)}",0.5902901379872478,0.6353948367991747,0.7448202397794019,0.6813195225125226,145,145,92,122,0,53,23
5,"{'activation': 'relu', 'alpha': np.float64(0.005043830321793336), 'hidden_layer_sizes': (56, 56, 56, 56, 56, 55, 55, 55, 55), 'learning_rate_init': np.float64(2.8437674894443664e-05)}",0.6655393625891177,0.2867913108008453,0.5578865185660791,0.5201412887073489,145,145,85,115,0,60,30
