max_depth,min_samples_leaf,min_samples_split,n_estimators,no_AD,strict,soft,no_AD_sd,strict_sd,soft_sd
99,2,2,730,0.6253054378613716,0.7282100952966828,0.6824908787313346,0.05755256784361271,0.06540898569916619,0.0509429748754303
40,2,2,101,0.623591029498809,0.7259788890283582,0.6806417017204395,0.05715106291042558,0.06624829981651768,0.05174316423787682
39,2,4,7380,0.6260488265650025,0.7285294137122665,0.682861792368895,0.05763601098718298,0.06518104009247856,0.05148256700371805
80,3,14,358,0.61668067409489,0.71520774114537,0.6709558288721317,0.0547928843430148,0.07082146211693002,0.05520257601610683
27,2,8,1059,0.623681430174623,0.7247108205947367,0.6798914857882042,0.05797717738112839,0.06718116753923448,0.05303198257480712
12,2,4,694,0.6246732199322972,0.7271526806281935,0.68148594015658,0.05808437621542211,0.06430560153482331,0.05097959822654696
13,2,10,715,0.6234256916981292,0.7233400945282452,0.6783744303506499,0.057401045419476465,0.0678808337454168,0.05373139558577231
19,2,4,926,0.6255018254806838,0.7286517352770698,0.6828805575212936,0.05830656862507973,0.06491025455788088,0.05149850902157992
15,3,9,643,0.6219290914022221,0.7206033476270314,0.6764991049864405,0.055956533849957156,0.0694953697647687,0.05360030669388009
14,2,8,886,0.6238562506504747,0.7257635321030981,0.6804366862049869,0.05798129705693418,0.06690741136007712,0.053259608745335606
12,2,4,389,0.6261840108951224,0.7277797253197202,0.6819695399372137,0.05691464486816384,0.06507281673654716,0.05161217470971913
13,2,6,84,0.6213224137138273,0.7236306384720942,0.6781454530974931,0.058023887675726964,0.06688020814711373,0.05226734414590868
18,2,2,312,0.6249487788324489,0.7273745011397579,0.6818920241018198,0.05816325137665295,0.06481172943699443,0.05175097822516494
13,3,7,91,0.6179488377604045,0.7182468433164008,0.674808332179613,0.05478109028501658,0.07199606452232622,0.05518448144826753
17,2,7,444,0.6235646329352291,0.7254139377546788,0.6796768281439336,0.05816177698254792,0.06702153524636348,0.05340679717031434
82,2,4,1056,0.6253385099195281,0.7281366851671713,0.6826837491994531,0.05822147044009853,0.06605002778177815,0.052258770187461626
36,2,9,7655,0.623563500305298,0.7243174810455393,0.6791493497187191,0.05746470163895513,0.06741409279510613,0.053198611661401995
39,2,4,7380,0.6256066382853266,0.7282954646048304,0.6825720240918445,0.05776615066107122,0.0649938432390252,0.051392634500926175
94,3,9,8087,0.6223160854263916,0.7205349714444071,0.6767259353453248,0.05646474636535781,0.06911428968776374,0.05385612773230914
36,2,9,7655,0.6236285547500926,0.7241661652012921,0.6791274378262707,0.057141124043797585,0.0673665872051352,0.05300114125035279
