fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'relu', 'alpha': np.float64(1.5519027787994336e-05), 'hidden_layer_sizes': (1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000), 'learning_rate_init': np.float64(0.00026539376439360527)}",0.6026290842903976,0.5139685047187916,0.7213601282403408,0.5843953723259824,182,182,104,143,0,78,39
2,"{'activation': 'relu', 'alpha': np.float64(0.00012194715233377648), 'hidden_layer_sizes': (2000, 2000, 2000, 2000, 2000), 'learning_rate_init': np.float64(0.0006746222278126138)}",0.6082955823076256,0.5856231630205941,0.7334782102558203,0.7070663228866143,182,182,126,155,0,56,27
3,"{'activation': 'relu', 'alpha': np.float64(0.00012194715233377648), 'hidden_layer_sizes': (2000, 2000, 2000, 2000, 2000), 'learning_rate_init': np.float64(0.0006746222278126138)}",0.5771469811072131,0.5245507573930706,0.6411207944963626,0.528701340034361,182,182,114,152,0,68,30
4,"{'activation': 'tanh', 'alpha': np.float64(0.0007606809457649334), 'hidden_layer_sizes': (5000, 5000), 'learning_rate_init': np.float64(0.0034207303670092245)}",0.5795758740376957,0.5026190057609521,0.5782458201197773,0.5277567128183758,181,181,119,157,0,62,24
5,"{'activation': 'relu', 'alpha': np.float64(0.00012194715233377648), 'hidden_layer_sizes': (2000, 2000, 2000, 2000, 2000), 'learning_rate_init': np.float64(0.0006746222278126138)}",0.5990204749390865,0.583627421505378,0.7562888541759416,0.688433941688969,181,181,126,157,0,55,24
