fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'relu', 'alpha': np.float64(0.005043830321793336), 'hidden_layer_sizes': (56, 56, 56, 56, 56, 55, 55, 55, 55), 'learning_rate_init': np.float64(2.8437674894443664e-05)}",0.6129983211113953,0.6009108303490922,0.7107591022455895,0.6513503363637339,182,182,104,143,0,78,39
2,"{'activation': 'relu', 'alpha': np.float64(0.005043830321793336), 'hidden_layer_sizes': (56, 56, 56, 56, 56, 55, 55, 55, 55), 'learning_rate_init': np.float64(2.8437674894443664e-05)}",0.6206168593015572,0.5722737773914655,0.7078008298959875,0.6972864847447038,182,182,126,155,0,56,27
3,"{'activation': 'relu', 'alpha': np.float64(0.005043830321793336), 'hidden_layer_sizes': (56, 56, 56, 56, 56, 55, 55, 55, 55), 'learning_rate_init': np.float64(2.8437674894443664e-05)}",0.5987472447450672,0.6528965207467898,0.7359920085723777,0.6459425992523045,182,182,114,152,0,68,30
4,"{'activation': 'relu', 'alpha': np.float64(0.005043830321793336), 'hidden_layer_sizes': (56, 56, 56, 56, 56, 55, 55, 55, 55), 'learning_rate_init': np.float64(2.8437674894443664e-05)}",0.6068853938260764,0.6097520032667176,0.6581563814848224,0.6188849386372377,181,181,119,157,0,62,24
5,"{'activation': 'relu', 'alpha': np.float64(0.005043830321793336), 'hidden_layer_sizes': (56, 56, 56, 56, 56, 55, 55, 55, 55), 'learning_rate_init': np.float64(2.8437674894443664e-05)}",0.6097004139178589,0.6121854976158081,0.7786881057602669,0.7168289033052393,181,181,126,157,0,55,24
