fold,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft,activation,alpha,hidden_layer_sizes,learning_rate_init,nb_neurones,global_mean_score,global_std_score
1,0.6074227115940064,0.4619482896416133,0.6086935092821916,0.5230524574776196,182,182,104,143,0,78,39,relu,1.97778285124627e-05,"(286, 286, 286, 286, 286, 285, 285)",0.004020759548749849,2000,0.5502792419988577,0.07123027839180977
2,0.6090683965957223,0.5592410883532446,0.7362045518970274,0.7139327549192609,182,182,126,155,0,56,27,relu,0.03699867920489089,"(1000, 1000)",0.00025137010744766443,2000,0.6546116979413139,0.084352686359662
3,0.5777981225805681,0.6144051481043855,0.7369772997659516,0.6498655031287652,182,182,114,152,0,68,30,relu,0.002792896510799227,"(200, 200, 200, 200, 200, 200, 200, 200, 200, 200)",1.048912959181851e-05,2000,0.6447615183949176,0.068155231127769
4,0.5830261699238445,0.5729488108460061,0.6401875916201201,0.5956787983511374,181,181,119,157,0,62,24,relu,0.0003010355768674624,"(2000,)",0.008182111518618418,2000,0.5979603426852771,0.029647665665102105
5,0.6120349327381936,0.5967851937029413,0.7938463021552531,0.7245393719637472,181,181,126,157,0,55,24,relu,6.235377135673157e-05,"(250, 250, 250, 250, 250, 250, 250, 250)",1.138463970530464e-05,2000,0.6818014501400338,0.09394273013185742
1,0.6111859912812677,0.5667796163184381,0.7126270173400554,0.6380557433439764,182,182,104,143,0,78,39,relu,0.011044350847124691,"(20, 20, 20, 20, 20, 20, 20, 20, 20, 20)",8.789004341405474e-05,200,0.6321620920709343,0.061166996176471616
2,0.6035504883680726,0.4910368874389604,0.617715714907086,0.5928840438824696,182,182,126,155,0,56,27,relu,0.0007284371265166888,"(34, 34, 33, 33, 33, 33)",0.0023085168151108005,200,0.5762967836491472,0.057742761137294714
3,0.5895359227026766,0.6336724791039661,0.7211653419729671,0.6279748834355565,182,182,114,152,0,68,30,tanh,0.0011040511903162248,"(23, 23, 22, 22, 22, 22, 22, 22, 22)",0.0008696007095406228,200,0.6430871568037916,0.05562060360337806
4,0.5902492529425497,0.6057056257149616,0.659885643670324,0.6338114597451998,181,181,119,157,0,62,24,tanh,0.006138509947844854,"(34, 34, 33, 33, 33, 33)",0.00027413507419758244,200,0.6224129955182587,0.0308099923643934
5,0.5985623838991676,0.5712649389559893,0.7755006575689507,0.6917545822742992,181,181,126,157,0,55,24,relu,1.9870215385428627e-05,"(29, 29, 29, 29, 28, 28, 28)",0.0004938623547724716,200,0.6592706406746017,0.09308619529735265
