fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'relu', 'alpha': np.float64(0.015352246941973482), 'hidden_layer_sizes': (625, 625, 625, 625, 625, 625, 625, 625), 'learning_rate_init': np.float64(0.0024810409748678114)}",0.6115368304408971,0.5758692876230721,0.7425161979905581,0.6437865809075305,182,182,104,143,0,78,39
2,"{'activation': 'relu', 'alpha': np.float64(0.07286653737491042), 'hidden_layer_sizes': (2500, 2500), 'learning_rate_init': np.float64(0.000348069532678527)}",0.6049872927368306,0.5292743808654342,0.715157647498318,0.6936884416126174,182,182,126,155,0,56,27
3,"{'activation': 'relu', 'alpha': np.float64(0.07286653737491042), 'hidden_layer_sizes': (2500, 2500), 'learning_rate_init': np.float64(0.000348069532678527)}",0.5764883080891519,0.649056421142965,0.7485007086204472,0.6600455178972567,182,182,114,152,0,68,30
4,"{'activation': 'tanh', 'alpha': np.float64(0.0003807158379249392), 'hidden_layer_sizes': (1250, 1250, 1250, 1250), 'learning_rate_init': np.float64(0.002463768595899745)}",0.5889091154351349,0.5460567238475296,0.5823764659210366,0.5535521184890724,181,181,119,157,0,62,24
5,"{'activation': 'relu', 'alpha': np.float64(0.03699867920489089), 'hidden_layer_sizes': (2500, 2500), 'learning_rate_init': np.float64(0.00025137010744766443)}",0.593652858177048,0.5923808641345956,0.7918300159859409,0.7228787366230605,181,181,126,157,0,55,24
