fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'tanh', 'alpha': np.float64(0.0018760068220300646), 'hidden_layer_sizes': (4, 3, 3), 'learning_rate_init': np.float64(0.0035101887722336646)}",0.5979868959021234,0.6395095553322013,0.7013936796279334,0.6536612952463906,182,182,104,143,0,78,39
2,"{'activation': 'tanh', 'alpha': np.float64(0.0018760068220300646), 'hidden_layer_sizes': (4, 3, 3), 'learning_rate_init': np.float64(0.0035101887722336646)}",0.6044601544088364,0.5691548628528972,0.7032602416549163,0.68949985318281,182,182,126,155,0,56,27
3,"{'activation': 'tanh', 'alpha': np.float64(0.0018760068220300646), 'hidden_layer_sizes': (4, 3, 3), 'learning_rate_init': np.float64(0.0035101887722336646)}",0.6018364389065823,0.6412352655134927,0.7433105484145384,0.6437456844122846,182,182,114,152,0,68,30
4,"{'activation': 'tanh', 'alpha': np.float64(0.0007606809457649334), 'hidden_layer_sizes': (5, 5), 'learning_rate_init': np.float64(0.0034207303670092245)}",0.5917156914060206,0.5818842527644101,0.6362028607318198,0.6077901542296866,181,181,119,157,0,62,24
5,"{'activation': 'tanh', 'alpha': np.float64(0.0018760068220300646), 'hidden_layer_sizes': (4, 3, 3), 'learning_rate_init': np.float64(0.0035101887722336646)}",0.5961954861952999,0.6245529903714854,0.772506621412302,0.7152834804033876,181,181,126,157,0,55,24
