fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'relu', 'alpha': np.float64(0.00012194715233377648), 'hidden_layer_sizes': (20, 20, 20, 20, 20), 'learning_rate_init': np.float64(0.0006746222278126138)}",0.6102803853655699,0.5437065150635927,0.726843718337391,0.6385184570814315,182,182,104,143,0,78,39
2,"{'activation': 'relu', 'alpha': np.float64(0.00039759772143180944), 'hidden_layer_sizes': (34, 33, 33), 'learning_rate_init': np.float64(0.00033872555658521483)}",0.6025323625209307,0.5386075984914747,0.7117716548193072,0.6864080875417288,182,182,126,155,0,56,27
3,"{'activation': 'tanh', 'alpha': np.float64(0.0876197110102369), 'hidden_layer_sizes': (15, 15, 14, 14, 14, 14, 14), 'learning_rate_init': np.float64(0.00488137519160367)}",0.5874313994635243,0.640193564697203,0.7246042673898481,0.6310352936988852,182,182,114,152,0,68,30
4,"{'activation': 'tanh', 'alpha': np.float64(0.0002023778954048506), 'hidden_layer_sizes': (15, 15, 14, 14, 14, 14, 14), 'learning_rate_init': np.float64(0.0012115379992469583)}",0.586780474363659,0.5909102450529837,0.6518574627624858,0.6132947549672998,181,181,119,157,0,62,24
5,"{'activation': 'relu', 'alpha': np.float64(0.00010022396791143334), 'hidden_layer_sizes': (17, 17, 17, 17, 16, 16), 'learning_rate_init': np.float64(0.00721744845244478)}",0.6063861277839308,0.6139242354879398,0.7960122809927068,0.7315185935849191,181,181,126,157,0,55,24
