fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'relu', 'alpha': np.float64(0.0020305586522289124), 'hidden_layer_sizes': (10000,), 'learning_rate_init': np.float64(6.0390962475457836e-05)}",0.5520205329687895,0.6593262847747423,0.6320580944342558,0.649921318704326,146,146,86,118,0,60,28
2,"{'activation': 'relu', 'alpha': np.float64(1.97778285124627e-05), 'hidden_layer_sizes': (1429, 1429, 1429, 1429, 1428, 1428, 1428), 'learning_rate_init': np.float64(0.004020759548749849)}",0.5882388178315884,0.4769129134506306,0.7733426404187276,0.647989512390258,145,145,97,123,0,48,22
3,"{'activation': 'relu', 'alpha': np.float64(0.0006071989493441295), 'hidden_layer_sizes': (1429, 1429, 1429, 1429, 1428, 1428, 1428), 'learning_rate_init': np.float64(1.7073967431528103e-05)}",0.5941694494726327,0.5591829671520328,0.647381878971253,0.6180842309190404,145,145,89,119,0,56,26
4,"{'activation': 'relu', 'alpha': np.float64(0.0020305586522289124), 'hidden_layer_sizes': (10000,), 'learning_rate_init': np.float64(6.0390962475457836e-05)}",0.5687498235096501,0.5748113116335665,0.6813830090999475,0.6183934746851236,145,145,92,122,0,53,23
5,"{'activation': 'tanh', 'alpha': np.float64(0.0003666421832063722), 'hidden_layer_sizes': (5000, 5000), 'learning_rate_init': np.float64(0.004467752817973905)}",0.6196241897794545,0.2554353363156343,0.5304027925522058,0.5131738836381097,145,145,85,115,0,60,30
