fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'relu', 'alpha': np.float64(1.97778285124627e-05), 'hidden_layer_sizes': (286, 286, 286, 286, 286, 285, 285), 'learning_rate_init': np.float64(0.004020759548749849)}",0.6074227115940064,0.4619482896416133,0.6086935092821916,0.5230524574776196,182,182,104,143,0,78,39
2,"{'activation': 'relu', 'alpha': np.float64(0.03699867920489089), 'hidden_layer_sizes': (1000, 1000), 'learning_rate_init': np.float64(0.00025137010744766443)}",0.6090683965957223,0.5592410883532446,0.7362045518970274,0.7139327549192609,182,182,126,155,0,56,27
3,"{'activation': 'relu', 'alpha': np.float64(0.002792896510799227), 'hidden_layer_sizes': (200, 200, 200, 200, 200, 200, 200, 200, 200, 200), 'learning_rate_init': np.float64(1.048912959181851e-05)}",0.5777981225805681,0.6144051481043855,0.7369772997659516,0.6498655031287652,182,182,114,152,0,68,30
4,"{'activation': 'relu', 'alpha': np.float64(0.0003010355768674624), 'hidden_layer_sizes': (2000,), 'learning_rate_init': np.float64(0.008182111518618418)}",0.5830261699238445,0.5729488108460061,0.6401875916201201,0.5956787983511374,181,181,119,157,0,62,24
5,"{'activation': 'relu', 'alpha': np.float64(6.235377135673157e-05), 'hidden_layer_sizes': (250, 250, 250, 250, 250, 250, 250, 250), 'learning_rate_init': np.float64(1.138463970530464e-05)}",0.6120349327381936,0.5967851937029413,0.7938463021552531,0.7245393719637472,181,181,126,157,0,55,24
