fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'relu', 'alpha': np.float64(0.0005421044225547077), 'hidden_layer_sizes': (100, 100, 100, 100, 100, 100, 100, 100, 100, 100), 'learning_rate_init': np.float64(2.059802236544964e-05)}",0.6078015381332967,0.6079090272676331,0.7295459801134923,0.6648911400559835,182,182,104,143,0,78,39
2,"{'activation': 'relu', 'alpha': np.float64(1.795698422567761e-05), 'hidden_layer_sizes': (143, 143, 143, 143, 143, 143, 142), 'learning_rate_init': np.float64(0.0047354909465785805)}",0.6167640705361002,0.4246192589245059,0.5970107630895246,0.5606908438015777,182,182,126,155,0,56,27
3,"{'activation': 'relu', 'alpha': np.float64(0.002792896510799227), 'hidden_layer_sizes': (100, 100, 100, 100, 100, 100, 100, 100, 100, 100), 'learning_rate_init': np.float64(1.048912959181851e-05)}",0.5941394051374626,0.6451432469153862,0.7144281659529004,0.6387510284093018,182,182,114,152,0,68,30
4,"{'activation': 'relu', 'alpha': np.float64(0.0009925982828198465), 'hidden_layer_sizes': (250, 250, 250, 250), 'learning_rate_init': np.float64(1.251018885016443e-05)}",0.5929626351641161,0.5926581196572908,0.64723955751871,0.6082549070847518,181,181,119,157,0,62,24
5,"{'activation': 'relu', 'alpha': np.float64(0.0005421044225547077), 'hidden_layer_sizes': (100, 100, 100, 100, 100, 100, 100, 100, 100, 100), 'learning_rate_init': np.float64(2.059802236544964e-05)}",0.606773314096927,0.6170115425674727,0.7963356363423135,0.7252423626339112,181,181,126,157,0,55,24
