fold,best_params,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft
1,"{'activation': 'relu', 'alpha': np.float64(7.602635868455898e-05), 'hidden_layer_sizes': (5, 5, 5, 5, 5, 5, 5, 5, 5, 5), 'learning_rate_init': np.float64(0.0011178209200698721)}",0.6076474557737822,0.6262566171613508,0.7003130577222817,0.643724099655627,182,182,104,143,0,78,39
2,"{'activation': 'relu', 'alpha': np.float64(0.015352246941973482), 'hidden_layer_sizes': (7, 7, 6, 6, 6, 6, 6, 6), 'learning_rate_init': np.float64(0.0024810409748678114)}",0.6122460780044433,0.5486192504607804,0.6859240331031675,0.6787906345170216,182,182,126,155,0,56,27
3,"{'activation': 'tanh', 'alpha': np.float64(0.0003807158379249392), 'hidden_layer_sizes': (13, 13, 12, 12), 'learning_rate_init': np.float64(0.002463768595899745)}",0.5954312515554966,0.6517783031556775,0.7160833232307284,0.6254510959262982,182,182,114,152,0,68,30
4,"{'activation': 'tanh', 'alpha': np.float64(1.6096330648219375e-05), 'hidden_layer_sizes': (13, 13, 12, 12), 'learning_rate_init': np.float64(0.00044199323295663256)}",0.595549374574014,0.5747441149705241,0.646102995779753,0.613962418443965,181,181,119,157,0,62,24
5,"{'activation': 'relu', 'alpha': np.float64(7.602635868455898e-05), 'hidden_layer_sizes': (5, 5, 5, 5, 5, 5, 5, 5, 5, 5), 'learning_rate_init': np.float64(0.0011178209200698721)}",0.59536654384575,0.6349597949495182,0.7870400400820836,0.7244633301869172,181,181,126,157,0,55,24
